idioms,first
安乐窝,安
傲霜枝,傲
哀鸿遍地,哀
哀声叹气,哀
挨冻受饿,挨
挨肩擦背,挨
矮人观场,矮
矮人看戏,矮
爱才如命,爱
爱才若渴,爱
爱富嫌贫,爱
安份守己,安
安家乐业,安
安居乐业,安
安神定魄,安
暗度陈仓,暗
黯淡无光,黯
黯然神伤,黯
黯然失色,黯
黯然无色,黯
昂头天外,昂
聱牙戟口,聱
聱牙诘屈,聱
傲慢无礼,傲
傲睨一切,傲
傲世轻物,傲
哀哀欲绝,哀
哀兵必胜,哀
哀思如潮,哀
哀痛欲绝,哀
唉声叹气,唉
挨家挨户,挨
挨肩搭背,挨
挨门逐户,挨
矮人看场,矮
爱财如命,爱
爱不忍释,爱
爱不释手,爱
爱国如家,爱
爱民如子,爱
爱莫能助,爱
爱钱如命,爱
爱屋及乌,爱
爱憎分明,爱
碍手碍脚,碍
暧昧不明,暧
暧昧之情,暧
安安稳稳,安
安邦定国,安
安邦治国,安
安不忘危,安
安步当车,安
安常处顺,安
安家立业,安
安分守己,安
安富恤贫,安
安家落户,安
安良除暴,安
安民告示,安
安内攘外,安
安贫乐道,安
安然无事,安
安如磐石,安
安身之处,安
安然无恙,安
安如泰山,安
安身之地,安
安营扎寨,安
安于现状,安
鞍马劳顿,鞍
鞍前马后,鞍
按兵不动,按
按部就班,按
按捺不住,按
按图索骥,按
暗淡无光,暗
暗渡陈仓,暗
暗箭难防,暗
暗箭伤人,暗
暗室逢灯,暗
暗送秋波,暗
暗无天日,暗
暗中摸索,暗
昂首阔步,昂
昂首挺胸,昂
昂首望天,昂
嗷嗷待哺,嗷
熬更守夜,熬
熬心费力,熬
傲骨嶙嶙,傲
傲慢不逊,傲
傲睨万物,傲
傲睨自若,傲
傲然屹立,傲
傲霜斗雪,傲
傲头傲脑,傲
傲贤慢士,傲
傲雪凌霜,傲
傲雪欺霜,傲
奥妙无穷,奥
懊悔无及,懊
阿猫阿狗,阿
按步就班,按
安土乐业,安
昂头阔步,昂
昂头挺胸,昂
鳌里夺尊,鳌
鳌头独占,鳌
鳌掷鲸吞,鳌
挨门挨户,挨
暗箭明枪,暗
阿斗太子,阿
挨家按户,挨
挨打受骂,挨
挨打受气,挨
挨饿受冻,挨
矮矮胖胖,矮
矮矮实实,矮
矮小精悍,矮
爱答不理,爱
爱理不理,爱
碍难遵命,碍
碍上碍下,碍
安安分分,安
安安合适,安
安安静静,安
安安心心,安
安定团结,安
按劳分配,按
按劳取酬,按
按捺不下,按
暗藏杀机,暗
暗礁险滩,暗
暗约私期,暗
暗约偷期,暗
暗中盘算,暗
暗中倾轧,暗
暗中作梗,暗
暗中作乐,暗
黯然魂销,黯
黯然无光,黯
黯然无神,黯
肮肮脏脏,肮
昂然而入,昂
凹凸不平,凹
嗷嗷待食,嗷
懊悔莫及,懊
阿家阿翁,阿
挨肩叠背,挨
捱风缉缝,捱
矮子观场,矮
爱生恶死,爱
碍难从命,碍
安常习故,安
安故重迁,安
安贫守道,安
安身乐业,安
安生服业,安
安适如常,安
安心乐意,安
安营下寨,安
鞍马劳倦,鞍
案牍之劳,案
暗箭中人,暗
暗室屋漏,暗
哀而不伤,哀
哀感天地,哀
哀鸿遍野,哀
哀感顽艳,哀
哀毁骨立,哀
哀天叫地,哀
挨肩并足,挨
矮子看戏,矮
蔼然可亲,蔼
蔼然仁者,蔼
爱才如渴,爱
爱人好士,爱
爱人以德,爱
爱如己出,爱
爱如珍宝,爱
爱惜羽毛,爱
安常守分,安
安常守故,安
安分知足,安
安国宁家,安
安魂定魄,安
安老怀少,安
安贫乐贱,安
安然如故,安
安身立命,安
安时处顺,安
安土重迁,安
安危相易,安
安危与共,安
安闲自得,安
安闲自在,安
安于一隅,安
安宅正路,安
安枕而卧,安
安之若命,安
安之若素,安
安坐待毙,安
鞍马劳困,鞍
鞍马之劳,鞍
按甲寝兵,按
按行自抑,按
暗室不欺,暗
暗室欺心,暗
暗室求物,暗
昂然自得,昂
傲不可长,傲
阿鼻地狱,阿
阿狗阿猫,阿
阿姑阿翁,阿
阿娇金屋,阿
阿毗地狱,阿
阿平绝倒,阿
碍足碍手,碍
按兵束甲,按
暗锤打人,暗
暗斗明争,暗
暗度金针,暗
安分守已,安
安国富民,安
鞍马劳神,鞍
岸然道貌,岸
安如盘石,安
安心乐业,安
安心落意,安
鳌愤龙愁,鳌
鳌鸣鳖应,鳌
熬清守谈,熬
敖世轻物,敖
遨翔自得,遨
謷牙诘屈,謷
安若泰山,安
按兵不举,按
暗室私心,暗
傲然挺立,傲
哀鸿满路,哀
哀矜勿喜,哀
哀乐相生,哀
哀死事生,哀
哀喜交并,哀
爱才好士,爱
爱才怜弱,爱
爱财舍命,爱
爱国一家,爱
爱老慈幼,爱
爱势贪财,爱
爱贤念旧,爱
爱者如宝,爱
安安逸逸,安
安分守常,安
安于磐石,安
按纳不住,按
按强助弱,按
暗察明访,暗
暗里使劲,暗
哀毁瘠立,哀
捱三顶四,捱
捱三顶五,捱
爱莫之助,爱
安常履顺,安
安富恤穷,安
岸谷之变,岸
案兵束甲,案
案剑瞋目,案
案无留牍,案
暗昧之事,暗
昂昂自若,昂
昂然直入,昂
昂然自若,昂
昂霄耸壑,昂
敖不可长,敖
熬清受淡,熬
聱牙诘曲,聱
奥援有灵,奥
哀哀父母,哀
哀感中年,哀
哀告宾服,哀
哀梨蒸食,哀
哀丝豪竹,哀
挨风缉缝,挨
挨肩擦膀,挨
挨肩擦脸,挨
挨三顶五,挨
挨山塞海,挨
爱别离苦,爱
爱毛反裘,爱
爱鹤失众,爱
爱礼存羊,爱
爱人利物,爱
爱日惜力,爱
爱素好古,爱
碍口识羞,碍
安车蒲轮,安
安堵乐业,安
安堵如故,安
安富尊荣,安
安眉带眼,安
安忍无亲,安
安身为乐,安
安室利处,安
安心定志,安
按甲休兵,按
按名责实,按
按辔徐行,按
案牍劳形,案
暗气暗恼,暗
暗弱无断,暗
暗室亏心,暗
暗香疏影,暗
黯然伤神,黯
黯然销魂,黯
昂藏七尺,昂
昂首伸眉,昂
昂首天外,昂
盎盂相击,盎
盎盂相敲,盎
熬肠刮肚,熬
